locationId,location,lat,lon,n_days,obs_mean,mae
289762,Sisaket City Hall,15.11879,104.322607,47,38.56808853149414,168.92514038085938
228544,"Meteorological stations, Sakon",17.15662,104.133216,47,39.908512115478516,167.58470153808594
270702,Bueng Planchai,16.057448,103.651056,47,40.521278381347656,166.97195434570312
353742,Mukdahan Provincial Stadium,16.54257,104.7192,47,46.04680633544922,161.4464111328125
385742,Chaloem Phra Kiat Water Park,14.606306,100.453589,47,47.5489387512207,159.94430541992188
429261,Tak Provincial Administrative ,16.877778,99.139722,46,48.07826232910156,159.41522216796875
228542,"Nong Prajak Public Park, Udon ",17.414174,102.780926,46,49.36738967895508,158.1183624267578
277658,Natural Resources and Environm,14.889702,100.397979,47,50.691490173339844,156.80174255371094
429157,Nong Bua Lamphu Meteorological,17.226111,102.424167,47,50.79574966430664,156.69747924804688
270250,Phetbura garden,16.418417,101.156556,47,52.46382522583008,155.02938842773438
353741,"Phichit Provincial , Phichit",16.442554,100.322756,47,53.272335052490234,154.22088623046875
808649,Natural Resources and Environm,15.173056,100.126944,26,58.742305755615234,148.7173614501953
228543,72nd Anniversary King Bhumibol,17.631351999999996,100.09896000000002,47,61.493614196777344,145.99960327148438
353743,Sirichit Thai Cultural Conserv,16.475374,99.525425,47,63.5936164855957,143.89962768554688
351927,Le Thai Community Park,17.006058999999997,99.81927,47,65.27446746826172,142.21875
228541,60th Anniversary Queen Sirikit,17.48462,101.732734,46,73.9065170288086,134.1182098388672
225567,Maesai Health Office,20.427325,99.883842,47,194.4340362548828,121.83042907714844
278507,Mae Sariang District Public He,18.163056,97.917778,47,99.33617401123047,110.28324127197266
523937,Tha Kham Municipality Office,18.202222,98.597222,47,98.8255386352539,110.17386627197266
388962,Li District Office,17.802222,98.949722,47,108.33829498291016,99.90777587890625
500068,Pai Municipality,19.3591522,98.4364794,46,199.2369384765625,95.9178695678711
387660,Mueang Na Subdistrict Municipa,19.593889,98.961667,47,183.6616973876953,84.12589263916016
387511,Wiang Subdistrict Disaster Pre,20.2575,100.4025,46,150.3304443359375,81.2210464477539
225648,Natural Resources and Environm,19.30455,97.97165,46,133.77825927734375,75.74462127685547
225581,Chalermprakiet Hospital,19.5759666,101.0815166,47,136.27444458007812,73.47760772705078
2328,Natural Resources and Environm,19.909217,99.823467,47,129.44041442871094,67.20787811279297
225676,Ayutthaya Witthayalai School,14.35222,100.565325,46,39.15217208862305,54.387630462646484
225643,Bangkok University Rangsit Cam,14.03742,100.605216,47,34.219146728515625,49.70743179321289
225666,"Phayao Provincial, Phayao",19.200226,99.893048,45,108.49557495117188,46.28951644897461
225664,Chaiyaphum City Hall,15.808061,102.031993,47,44.14680480957031,46.145694732666016
8893,Vientiane,17.896122,102.64,30,81.14334106445312,45.40407180786133
225663,Buriram City Hall,14.945452,103.10589600000002,47,33.41276931762695,45.334815979003906
225636,Khao Noi Fire Station,14.526343,100.926047,47,34.04255294799805,41.3258171081543
225579,Yupparaj Wittayalai School,18.7909333,98.99,47,101.00640106201172,37.424434661865234
225606,Kanchanaburi Meteorological St,14.022376,99.536195,47,36.455318450927734,36.88385772705078
225620,Na Phralan Police Station,14.685833,100.87199599999998,47,44.425533294677734,36.54143524169922
225583,Mobile Air Quality Monitoring ,18.804718,98.896851,38,89.3263168334961,36.22340393066406
225693,Debaratana Vejjanukul Hospital,18.498333,98.379444,47,97.91064453125,35.049076080322266
225658,Bueng Kan District Office,18.358249,103.652055,47,60.221275329589844,34.55949401855469
225570,"Meteorological stations, Lampa",18.2783333,99.5064666,47,95.01062774658203,34.52350616455078
225615,"Meteorological stations, Nakho",17.412345,104.7786123,47,65.60425567626953,33.964324951171875
225602,Municipal Waste Water Pumping ,14.979537,102.098335,47,40.668087005615234,33.662139892578125
7747,Hydrogeological Group Water Re,16.44538333,102.83525,46,45.04347229003906,33.23286056518555
225674,"Municipality Office, Nan",18.7888833,100.7763166,47,105.75106811523438,33.03824234008789
225669,"City Hall, Chiangmai",18.840732,98.96978,47,100.15532684326172,32.43830108642578
225649,"OTOP Center, Ubon Ratchathani",15.245413,104.846219,47,55.236167907714844,31.80374526977539
225659,Kalasin Provincial Natural Res,16.442904,103.535221,47,43.81276321411133,31.56369972229004
225675,Meteorological Station Lopburi,14.800032,100.628548,47,46.5638313293457,30.430957794189453
225609,Nakhonsawan Irrigation Project,15.68623,100.110556,47,49.8063850402832,29.034055709838867
225644,Suphan Buri Provincial Central,14.476214,100.086095,47,46.71915054321289,28.136804580688477
225655,"Meteorological Staions, Lamphu",18.567194,99.038639,45,82.71112060546875,26.640199661254883
225661,"Nong Thin Public Park, Nong Kh",17.877479999999995,102.728925,47,76.72553253173828,24.782197952270508
2411,Health Promotion Hospital Bant,18.4267833,99.7576333,47,74.74254608154297,23.98237419128418
225646,Provincial Waterworks Authorit,18.2826333,99.6598166,44,74.24317932128906,22.81781768798828
225601,Chaloem Phrakiat Park Station ,15.373638,100.038725,47,57.944679260253906,22.71768569946289
225692,Health Promotion Hospital Sob ,18.2508166,99.76395,47,70.87234497070312,22.462989807128906
225626,"Non-Formal Education Centre, M",16.734413,98.566961,46,56.445648193359375,21.685405731201172
225630,"Meteorology Center, Phrae",18.1283666,100.16243330000002,47,74.47233581542969,17.8962459564209
225585,Chom Nan Chaloem Phrakiat Publ,16.820832999999997,100.258056,46,71.49346923828125,16.099885940551758
7441,Hanoi,21.021939,105.818806,47,47.3361701965332,12.280126571655273
7153,Rangoon,16.8256,96.1445,46,42.3282585144043,9.849520683288574
